"","YMD","Year.x","Transect","Area.x","AreaTP","AreaYear","TimePeriod.x","doy","Year.y","TimePeriod.y","Area.y","Count"
"110","2020-09-23","2020","HH52","Construction Site","Construction Site-Pre","Construction Site-2020","Pre",267,"2020","Pre","Construction Site",30
"111","2020-09-23","2020","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",267,"2020","Pre","Piers 5-7",37
"112","2020-09-23","2020","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",267,"2020","Pre","Piers 5-7",16
"113","2020-09-24","2020","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,"2020","Pre","Macassa Bay",58
"114","2020-09-24","2020","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,"2020","Pre","Macassa Bay",30
"115","2020-09-24","2020","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,"2020","Pre","Macassa Bay",23
"116","2020-09-24","2020","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,"2020","Pre","Macassa Bay",35
"117","2020-09-24","2020","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,"2020","Pre","Macassa Bay",30
"118","2020-10-20","2020","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,"2020","Pre","Macassa Bay",19
"119","2020-10-20","2020","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,"2020","Pre","Macassa Bay",7
"120","2020-10-20","2020","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,"2020","Pre","Macassa Bay",5
"121","2020-10-20","2020","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,"2020","Pre","Macassa Bay",3
"122","2020-10-20","2020","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,"2020","Pre","Macassa Bay",21
"123","2020-10-21","2020","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",295,"2020","Pre","Piers 5-7",21
"124","2020-10-21","2020","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",295,"2020","Pre","Piers 5-7",31
"125","2020-10-21","2020","HH52","Construction Site","Construction Site-Pre","Construction Site-2020","Pre",295,"2020","Pre","Construction Site",7
"126","2020-10-21","2020","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",295,"2020","Pre","Piers 5-7",10
"127","2020-10-21","2020","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",295,"2020","Pre","Piers 5-7",4
"128","2020-10-21","2020","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",295,"2020","Pre","Macassa Bay",29
"129","2021-07-28","2021","HH50","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",209,"2021","Construction","Piers 5-7",7
